weight vector:
0.4,-0.3,-0.7,0.9,-1.0,7.0
parameter value:,0.03
no. f separating features:,6
row no.,inner product,misclassified status,b
434,[[14.]],1,[[-6 -6 -6 -4 -7  1]]
435,[[14.]],1,[[-4 -8 -4 -4 -7  1]]
436,[[17.1]],1,[[-4 -8 -7 -4 -8  1]]
437,[[15.4]],1,[[-4 -8 -6 -4 -7  1]]
438,[[12.]],1,[[-8 -5 -6 -5 -7  1]]
439,[[13.9]],1,[[-8 -7 -8 -4 -6  1]]
440,[[11.3]],1,[[-6 -7 -6 -4 -4  1]]
441,[[7.5]],1,[[-7 -4 -5 -6 -4  1]]
442,[[11.2]],1,[[-4 -5 -8 -7 -5  1]]
443,[[12.1]],1,[[-6 -5 -5 -5 -7  1]]
444,[[7.4]],1,[[-4 -5 -4 -7 -4  1]]
445,[[12.5]],1,[[-4 -4 -6 -7 -8  1]]
446,[[12.1]],1,[[-5 -6 -8 -7 -6  1]]
447,[[11.1]],1,[[-8 -8 -6 -7 -7  1]]
448,[[13.9]],1,[[-7 -6 -5 -4 -8  1]]
449,[[13.9]],1,[[-8 -8 -6 -5 -8  1]]
450,[[10.4]],1,[[-5 -7 -8 -7 -4  1]]
451,[[12.1]],1,[[-6 -5 -8 -4 -4  1]]
452,[[10.9]],1,[[-6 -4 -5 -6 -7  1]]
453,[[8.1]],1,[[-5 -4 -6 -7 -4  1]]
454,[[11.3]],1,[[-6 -7 -6 -4 -4  1]]
455,[[10.8]],1,[[-5 -4 -6 -4 -4  1]]
456,[[11.]],1,[[-7 -4 -6 -4 -5  1]]
457,[[11.4]],1,[[-7 -8 -6 -6 -6  1]]
458,[[12.1]],1,[[-4 -4 -7 -6 -6  1]]
459,[[14.7]],1,[[-6 -5 -6 -4 -8  1]]
460,[[11.8]],1,[[-7 -4 -7 -5 -6  1]]
461,[[13.8]],1,[[-7 -8 -4 -4 -8  1]]
462,[[13.8]],1,[[-8 -6 -8 -6 -8  1]]
463,[[9.2]],1,[[-8 -6 -7 -7 -5  1]]
464,[[12.1]],1,[[-8 -7 -4 -4 -7  1]]
465,[[14.7]],1,[[-7 -8 -8 -5 -7  1]]
466,[[8.3]],1,[[-7 -7 -6 -8 -5  1]]
467,[[11.1]],1,[[-6 -6 -6 -5 -5  1]]
468,[[9.1]],1,[[-8 -7 -5 -7 -6  1]]
469,[[11.1]],1,[[-5 -6 -8 -7 -5  1]]
470,[[8.7]],1,[[-5 -7 -4 -8 -6  1]]
471,[[15.]],1,[[-7 -6 -8 -4 -7  1]]
472,[[9.2]],1,[[-4 -5 -4 -5 -4  1]]
473,[[11.5]],1,[[-8 -8 -4 -5 -7  1]]
474,[[13.]],1,[[-6 -8 -5 -5 -7  1]]
475,[[9.6]],1,[[-8 -6 -5 -5 -5  1]]
476,[[10.4]],1,[[-7 -6 -8 -8 -6  1]]
477,[[11.2]],1,[[-7 -4 -6 -6 -7  1]]
478,[[12.1]],1,[[-5 -5 -6 -4 -5  1]]
479,[[13.6]],1,[[-8 -8 -7 -5 -7  1]]
480,[[11.8]],1,[[-5 -4 -7 -7 -7  1]]
481,[[14.3]],1,[[-7 -5 -6 -4 -8  1]]
482,[[9.8]],1,[[-5 -8 -4 -6 -5  1]]
483,[[11.]],1,[[-8 -5 -6 -5 -6  1]]
484,[[10.5]],1,[[-8 -8 -5 -8 -8  1]]
485,[[10.4]],1,[[-8 -7 -7 -6 -5  1]]
486,[[11.4]],1,[[-8 -5 -5 -6 -8  1]]
487,[[9.6]],1,[[-4 -5 -7 -8 -5  1]]
488,[[10.6]],1,[[-8 -5 -7 -4 -4  1]]
489,[[10.6]],1,[[-7 -6 -6 -4 -4  1]]
490,[[11.9]],1,[[-8 -6 -4 -5 -8  1]]
491,[[12.5]],1,[[-7 -8 -5 -4 -6  1]]
492,[[12.7]],1,[[-4 -5 -6 -6 -7  1]]
493,[[15.7]],1,[[-5 -7 -6 -4 -8  1]]
494,[[12.9]],1,[[-8 -7 -5 -5 -8  1]]
495,[[10.2]],1,[[-6 -8 -4 -4 -4  1]]
496,[[9.1]],1,[[-6 -7 -4 -6 -5  1]]
497,[[12.1]],1,[[-5 -6 -7 -4 -4  1]]
498,[[10.7]],1,[[-4 -4 -5 -6 -6  1]]
499,[[13.4]],1,[[-7 -8 -6 -6 -8  1]]
501,[[-0.9]],-1,[[-7 -8 -7 -4 -7 -1]]
512,[[-0.8]],-1,[[-5 -8 -7 -5 -7 -1]]
513,[[-0.7]],-1,[[-4 -6 -7 -6 -8 -1]]
514,[[-1.6]],-1,[[-4 -7 -8 -5 -7 -1]]
525,[[-3.1]],-1,[[-4 -8 -7 -4 -8 -1]]
541,[[-2.4]],-1,[[-4 -8 -6 -4 -8 -1]]
553,[[-1.7]],-1,[[-4 -8 -5 -4 -8 -1]]
558,[[-0.3]],-1,[[-6 -5 -8 -6 -8 -1]]
565,[[-2.5]],-1,[[-4 -7 -8 -4 -7 -1]]
566,[[-0.2]],-1,[[-4 -8 -8 -8 -8 -1]]
582,[[-1.2]],-1,[[-5 -6 -7 -5 -8 -1]]
589,[[-1.5]],-1,[[-5 -5 -8 -4 -7 -1]]
595,[[-1.5]],-1,[[-5 -7 -7 -5 -8 -1]]
602,[[-0.1]],-1,[[-4 -5 -8 -6 -7 -1]]
605,[[-0.9]],-1,[[-4 -5 -8 -4 -6 -1]]
611,[[-1.]],-1,[[-8 -4 -8 -4 -8 -1]]
623,[[-0.9]],-1,[[-7 -8 -7 -4 -7 -1]]
638,[[-1.2]],-1,[[-6 -8 -8 -6 -8 -1]]
644,[[-0.3]],-1,[[-6 -8 -8 -7 -8 -1]]
649,[[-0.6]],-1,[[-4 -8 -6 -6 -8 -1]]
657,[[-0.8]],-1,[[-5 -8 -7 -5 -7 -1]]
664,[[-0.7]],-1,[[-5 -7 -6 -4 -7 -1]]
667,[[-1.3]],-1,[[-7 -6 -7 -4 -8 -1]]
670,[[-1.4]],-1,[[-6 -6 -8 -4 -7 -1]]
673,[[-0.1]],-1,[[-6 -7 -7 -5 -7 -1]]
680,[[-1.7]],-1,[[-5 -7 -6 -4 -8 -1]]
683,[[-0.5]],-1,[[-7 -7 -8 -6 -8 -1]]
687,[[-4.4408921e-16]],-1,[[-4 -8 -4 -4 -7 -1]]
689,[[-1.1]],-1,[[-4 -7 -6 -4 -7 -1]]
695,[[-0.3]],-1,[[-8 -7 -7 -5 -8 -1]]
708,[[-0.7]],-1,[[-5 -6 -5 -4 -8 -1]]
709,[[-0.6]],-1,[[-5 -8 -8 -6 -7 -1]]
711,[[-0.5]],-1,[[-7 -4 -8 -5 -8 -1]]
723,[[-0.2]],-1,[[-6 -8 -8 -6 -7 -1]]
747,[[-0.5]],-1,[[-8 -8 -7 -4 -7 -1]]
753,[[-0.5]],-1,[[-4 -6 -8 -7 -8 -1]]
760,[[-1.1]],-1,[[-6 -4 -7 -4 -8 -1]]
773,[[-1.]],-1,[[-7 -8 -7 -5 -8 -1]]
777,[[-0.8]],-1,[[-4 -5 -5 -4 -8 -1]]
778,[[-1.6]],-1,[[-4 -6 -7 -5 -8 -1]]
790,[[-3.4]],-1,[[-5 -8 -8 -4 -8 -1]]
792,[[-1.1]],-1,[[-5 -6 -7 -4 -7 -1]]
801,[[-0.3]],-1,[[-8 -7 -7 -5 -8 -1]]
805,[[-0.7]],-1,[[-6 -8 -6 -5 -8 -1]]
815,[[-0.1]],-1,[[-5 -7 -5 -5 -8 -1]]
820,[[-0.1]],-1,[[-5 -4 -5 -4 -8 -1]]
825,[[-2.]],-1,[[-6 -7 -7 -4 -8 -1]]
841,[[-0.1]],-1,[[-6 -4 -7 -4 -7 -1]]
847,[[-0.1]],-1,[[-5 -8 -6 -5 -7 -1]]
867,[[-1.]],-1,[[-7 -8 -7 -5 -8 -1]]
882,[[-1.6]],-1,[[-4 -7 -8 -5 -7 -1]]
889,[[-0.8]],-1,[[-5 -4 -6 -4 -8 -1]]
893,[[-1.]],-1,[[-6 -6 -6 -4 -8 -1]]
905,[[-0.2]],-1,[[-6 -4 -7 -5 -8 -1]]
915,[[-0.8]],-1,[[-4 -4 -8 -6 -8 -1]]
928,[[-0.1]],-1,[[-5 -8 -6 -5 -7 -1]]
954,[[-1.5]],-1,[[-5 -5 -8 -4 -7 -1]]
979,[[-1.7]],-1,[[-4 -8 -5 -4 -8 -1]]
987,[[-0.4]],-1,[[-4 -6 -4 -4 -8 -1]]

no of misclassifications:,559
old_w,[[ 0.4 -0.3 -0.7  0.9 -1.   7. ]]
new_w,[[ 99.28 102.51 102.2   96.72 102.23  -6.23]]
iteration no,0

row no.,inner product,misclassified status,b

no of misclassifications:,0
old_w,[[ 99.28 102.51 102.2   96.72 102.23  -6.23]]
new_w,[[ 99.28 102.51 102.2   96.72 102.23  -6.23]]
iteration no,1

